--- PARAMETRISCHE (stochastische) PERZENTILE für ALLE MODELLE ---

                                   Spalte  Modell    q  Q_modell  CI_low  CI_high
                    Privat_Wartezeit_mean   gamma 0.50     18.52   18.52    18.52
                    Privat_Wartezeit_mean   gamma 0.70     40.31   40.31    40.31
                    Privat_Wartezeit_mean   gamma 0.80     59.54   59.54    59.54
                    Privat_Wartezeit_mean   gamma 0.85     73.85   73.85    73.85
                    Privat_Wartezeit_mean   gamma 0.90     94.70   94.70    94.70
                    Privat_Wartezeit_mean   gamma 0.95    131.66  131.66   131.66
                    Privat_Wartezeit_mean weibull 0.10      0.90    0.90     0.90
                    Privat_Wartezeit_mean weibull 0.50     14.75   14.75    14.75
                    Privat_Wartezeit_mean weibull 0.70     33.47   33.47    33.47
                    Privat_Wartezeit_mean weibull 0.80     51.51   51.51    51.51
                    Privat_Wartezeit_mean weibull 0.85     65.75   65.75    65.75
                    Privat_Wartezeit_mean weibull 0.90     87.66   87.66    87.66
                    Privat_Wartezeit_mean weibull 0.95    129.56  129.56   129.56
